name	type	units	sampling_frequency
Fp1	EEG	μV	1000
F3	EEG	μV	1000
F7	EEG	μV	1000
FC5	EEG	μV	1000
FC1	EEG	μV	1000
FCz	EEG	μV	1000
C3	EEG	μV	1000
T7	EEG	μV	1000
TP9	EEG	μV	1000
CP5	EEG	μV	1000
CP1	EEG	μV	1000
Pz	EEG	μV	1000
P3	EEG	μV	1000
P7	EEG	μV	1000
O1	EEG	μV	1000
Oz	EEG	μV	1000
O2	EEG	μV	1000
P4	EEG	μV	1000
P8	EEG	μV	1000
TP10	EEG	μV	1000
CP6	EEG	μV	1000
CP2	EEG	μV	1000
CPz	EEG	μV	1000
Cz	EEG	μV	1000
C4	EEG	μV	1000
T8	EEG	μV	1000
FC6	EEG	μV	1000
FC2	EEG	μV	1000
F4	EEG	μV	1000
F8	EEG	μV	1000
Fp2	EEG	μV	1000
